Gene,liver_nTPM_value,Classification,RNA tissue specific nTPM,Tissue expression cluster
CFH,1645.3,liver protein (all 3),liver: 1645.3,Cluster 83: Liver - Metabolism
TMEM176B,1609.3,liver protein (all 3),liver: 1609.3,Cluster 1: Liver & Kidney - Metabolism
SOD1,1594.4,liver protein (all 3),liver: 1594.4,Cluster 69: Liver - Oxidoreductase activity
CYP2A6,1564.1,liver protein (all 3),liver: 1564.1,Cluster 31: Liver - Plasma proteins
AGT,1563.6,liver protein (all 3),liver: 1563.6,Cluster 83: Liver - Metabolism
UGT2B7,1563.0,liver protein (all 3),kidney: 1252.4;liver: 1563.0,Cluster 1: Liver & Kidney - Metabolism
SERPINF2,1539.8,liver protein (all 3),liver: 1539.8,Cluster 31: Liver - Plasma proteins
RIDA,1488.9,liver protein (all 3),kidney: 477.6;liver: 1488.9,Cluster 1: Liver & Kidney - Metabolism
ITIH1,1459.7,liver protein (all 3),liver: 1459.7,Cluster 31: Liver - Plasma proteins
ALDH1A1,1455.3,liver protein (all 3),liver: 1455.3,Cluster 83: Liver - Metabolism
CPB2,1439.0,liver protein (all 3),liver: 1439.0,Cluster 31: Liver - Plasma proteins
C1R,1390.1,liver protein (all 3),liver: 1390.1,Cluster 83: Liver - Metabolism
PAH,1365.3,liver protein (all 3),kidney: 478.9;liver: 1365.3,Cluster 1: Liver & Kidney - Metabolism
CFHR2,1309.3,liver protein (all 3),liver: 1309.3,Cluster 31: Liver - Plasma proteins
MAT1A,1305.8,liver protein (all 3),liver: 1305.8,Cluster 83: Liver - Metabolism
LBP,1304.6,liver protein (nTPM + cluster),liver: 1304.6,Cluster 31: Liver - Plasma proteins
C9,1268.7,liver protein (all 3),liver: 1268.7,Cluster 31: Liver - Plasma proteins
UGT2B4,1234.7,liver protein (all 3),liver: 1234.7,Cluster 31: Liver - Plasma proteins
TAT,1233.9,liver protein (nTPM + cluster),liver: 1233.9,Cluster 31: Liver - Plasma proteins
SERPIND1,1214.6,liver protein (all 3),liver: 1214.6,Cluster 31: Liver - Plasma proteins
A2M,1212.9,liver protein (all 3),liver: 1212.9;lung: 1626.5,Cluster 11: Liver - Plasma proteins
A1BG,1194.2,liver protein (nTPM + cluster),liver: 1194.2,Cluster 31: Liver - Plasma proteins
F2,1180.6,liver protein (all 3),liver: 1180.6,Cluster 31: Liver - Plasma proteins
CAT,1180.2,liver protein (all 3),liver: 1180.2,Cluster 1: Liver & Kidney - Metabolism
ARG1,1166.8,liver protein (nTPM + cluster),liver: 1166.8,Cluster 83: Liver - Metabolism
APOB,1155.6,liver protein (all 3),intestine: 296.0;liver: 1155.6,Cluster 83: Liver - Metabolism
TMEM176A,1133.6,liver protein (all 3),kidney: 363.1;liver: 1133.6,Cluster 1: Liver & Kidney - Metabolism
MT1H,1109.0,liver protein (nTPM + cluster),kidney: 822.2;liver: 1109.0,Cluster 1: Liver & Kidney - Metabolism
ACSL1,1108.8,liver protein (nTPM + enrichment),adipose tissue: 699.7;liver: 1108.8;skeletal muscle: 705.7,Cluster 19: Non-specific - Basic cellular processes
BHMT,1107.8,liver protein (all 3),kidney: 751.2;liver: 1107.8,Cluster 1: Liver & Kidney - Metabolism
ECHS1,1093.7,liver protein (all 3),liver: 1093.7,Cluster 1: Liver & Kidney - Metabolism
FMO3,1088.9,liver protein (all 3),liver: 1088.9,Cluster 31: Liver - Plasma proteins
SCP2,1081.6,liver protein (all 3),liver: 1081.6,Cluster 37: Liver & Intestine - Lipid metabolism
ASGR1,1065.6,liver protein (nTPM + cluster),liver: 1065.6,Cluster 31: Liver - Plasma proteins
SULT2A1,1043.0,liver protein (nTPM + cluster),liver: 1043.0,Cluster 83: Liver - Metabolism
CPS1,1031.6,liver protein (nTPM + cluster),liver: 1031.6,Cluster 83: Liver - Metabolism
SDS,999.5,liver protein (nTPM + cluster),liver: 999.5,Cluster 83: Liver - Metabolism
SLC27A5,999.1,liver protein (all 3),liver: 999.1,Cluster 31: Liver - Plasma proteins
ACAA2,981.1,liver protein (all 3),liver: 981.1,Cluster 1: Liver & Kidney - Metabolism
CFI,952.1,liver protein (all 3),liver: 952.1,Cluster 1: Liver & Kidney - Metabolism
ACAT1,939.5,liver protein (all 3),kidney: 599.8;liver: 939.5,Cluster 1: Liver & Kidney - Metabolism
HSD11B1,938.4,liver protein (nTPM + cluster),liver: 938.4,Cluster 83: Liver - Metabolism
AFM,932.0,liver protein (all 3),liver: 932.0,Cluster 1: Liver & Kidney - Metabolism
LRG1,920.6,liver protein (nTPM + cluster),liver: 920.6,Cluster 83: Liver - Metabolism
FTCD,917.4,liver protein (all 3),liver: 917.4,Cluster 1: Liver & Kidney - Metabolism
AADAC,917.3,liver protein (nTPM + cluster),adrenal gland: 217.8;intestine: 235.1;liver: 917.3,Cluster 83: Liver - Metabolism
MST1,905.4,liver protein (nTPM + cluster),liver: 905.4,Cluster 1: Liver & Kidney - Metabolism
GLUD1,892.0,liver protein (all 3),brain: 303.2;kidney: 273.8;liver: 892.0,Cluster 69: Liver - Oxidoreductase activity
PLIN2,877.8,liver protein (nTPM + cluster),adipose tissue: 601.5;liver: 877.8,Cluster 83: Liver - Metabolism
AOX1,864.2,liver protein (all 3),adrenal gland: 291.3;liver: 864.2,Cluster 83: Liver - Metabolism
FBP1,849.4,liver protein (nTPM + cluster),intestine: 298.7;kidney: 284.7;liver: 849.4,Cluster 37: Liver & Intestine - Lipid metabolism
HPN,845.2,liver protein (nTPM + cluster),kidney: 195.1;liver: 845.2;pancreas: 264.2,Cluster 83: Liver - Metabolism
UGP2,832.1,liver protein (nTPM + enrichment),liver: 832.1;tongue: 726.9,Cluster 19: Non-specific - Basic cellular processes
ALDH2,831.4,liver protein (all 3),liver: 831.4,Cluster 83: Liver - Metabolism
ITIH3,828.4,liver protein (nTPM + cluster),liver: 828.4,Cluster 31: Liver - Plasma proteins
CYP4A11,824.3,liver protein (all 3),kidney: 209.6;liver: 824.3,Cluster 1: Liver & Kidney - Metabolism
ASGR2,819.9,liver protein (all 3),liver: 819.9,Cluster 83: Liver - Metabolism
DDT,815.7,liver protein (nTPM + cluster),liver: 815.7,Cluster 83: Liver - Metabolism
SLC2A2,810.6,liver protein (all 3),liver: 810.6,Cluster 83: Liver - Metabolism
IL32,808.7,liver protein_1,liver: 808.7;pancreas: 654.9,Cluster 19: Non-specific - Basic cellular processes
HPR,786.9,liver protein (all 3),liver: 786.9,Cluster 83: Liver - Metabolism
RDH16,768.9,liver protein (all 3),liver: 768.9,Cluster 31: Liver - Plasma proteins
TDO2,767.4,liver protein (nTPM + cluster),liver: 767.4,Cluster 31: Liver - Plasma proteins
SERPINA5,761.5,liver protein (nTPM + enrichment),adrenal gland: 469.3;liver: 761.5;testis: 419.6,Cluster 78: Testis - Transcription
SERPINA6,752.4,liver protein (all 3),liver: 752.4,Cluster 31: Liver - Plasma proteins
HGD,729.7,liver protein (nTPM + cluster),kidney: 192.9;liver: 729.7,Cluster 1: Liver & Kidney - Metabolism
CERS2,709.3,liver protein (all 3),liver: 709.3,Cluster 1: Liver & Kidney - Metabolism
BAAT,699.4,liver protein (all 3),liver: 699.4,Cluster 31: Liver - Plasma proteins
AKR1C4,695.1,liver protein (all 3),liver: 695.1,Cluster 83: Liver - Metabolism
IGFBP3,693.4,liver protein (nTPM + enrichment),liver: 693.4;placenta: 1799.7,Cluster 58: Placenta - Pregnancy
STARD10,692.6,liver protein (all 3),liver: 692.6,Cluster 83: Liver - Metabolism
F9,683.7,liver protein (all 3),liver: 683.7,Cluster 31: Liver - Plasma proteins
ADH6,682.3,liver protein (all 3),liver: 682.3,Cluster 1: Liver & Kidney - Metabolism
AQP9,681.6,liver protein (all 3),liver: 681.6,Cluster 83: Liver - Metabolism
GLYAT,676.1,liver protein (all 3),kidney: 550.4;liver: 676.1,Cluster 1: Liver & Kidney - Metabolism
PCK1,664.7,liver protein (nTPM + cluster),kidney: 416.9;liver: 664.7,Cluster 1: Liver & Kidney - Metabolism
FMO5,662.6,liver protein (all 3),liver: 662.6,Cluster 83: Liver - Metabolism
PGRMC1,656.9,liver protein (all 3),liver: 656.9,Cluster 69: Liver - Oxidoreductase activity
ANGPTL3,655.3,liver protein (all 3),liver: 655.3,Cluster 1: Liver & Kidney - Metabolism
PHYH,647.3,liver protein (nTPM + enrichment),liver: 647.3;skeletal muscle: 466.5;tongue: 396.6,Cluster 19: Non-specific - Basic cellular processes
ACAA1,638.8,liver protein (all 3),kidney: 204.7;liver: 638.8,Cluster 1: Liver & Kidney - Metabolism
GSTO1,636.8,liver protein (nTPM + cluster),liver: 636.8,Cluster 83: Liver - Metabolism
GRHPR,632.6,liver protein (all 3),liver: 632.6,Cluster 1: Liver & Kidney - Metabolism
C8B,630.0,liver protein (all 3),liver: 630.0,Cluster 31: Liver - Plasma proteins
C6,610.3,liver protein (all 3),liver: 610.3,Cluster 83: Liver - Metabolism
APOC4,607.5,liver protein (all 3),liver: 607.5,Cluster 31: Liver - Plasma proteins
DHCR24,604.8,liver protein (nTPM + enrichment),adrenal gland: 1094.1;liver: 604.8,Cluster 43: Non-specific - Mitochondrial translation
AKR1C1,603.1,liver protein (nTPM + cluster),liver: 603.1,Cluster 83: Liver - Metabolism
GAMT,600.1,liver protein (nTPM + enrichment),liver: 600.1;skeletal muscle: 1191.9;tongue: 447.8,Cluster 19: Non-specific - Basic cellular processes
PON3,598.0,liver protein (all 3),liver: 598.0,Cluster 83: Liver - Metabolism
MLXIPL,595.0,liver protein (nTPM + cluster),liver: 595.0,Cluster 83: Liver - Metabolism
SLC22A1,594.8,liver protein (all 3),liver: 594.8,Cluster 31: Liver - Plasma proteins
SLC38A4,591.5,liver protein (all 3),liver: 591.5,Cluster 31: Liver - Plasma proteins
GSTM1,590.7,liver protein (nTPM + cluster),liver: 590.7,Cluster 83: Liver - Metabolism
F12,589.9,liver protein (all 3),liver: 589.9,Cluster 31: Liver - Plasma proteins
HAO1,589.2,liver protein (all 3),liver: 589.2,Cluster 31: Liver - Plasma proteins
PTGR1,576.1,liver protein (nTPM + cluster),intestine: 271.0;liver: 576.1,Cluster 37: Liver & Intestine - Lipid metabolism
CYP27A1,576.0,liver protein (all 3),choroid plexus: 199.0;liver: 576.0,Cluster 83: Liver - Metabolism
ADI1,572.8,liver protein (all 3),liver: 572.8,Cluster 1: Liver & Kidney - Metabolism
CYP2B6,570.5,liver protein (all 3),liver: 570.5,Cluster 31: Liver - Plasma proteins
APOA5,567.7,liver protein (nTPM + cluster),liver: 567.7,Cluster 31: Liver - Plasma proteins
SCD,566.0,liver protein_1,adipose tissue: 1190.8;brain: 976.3;liver: 566.0,Cluster 9: Oligodendrocytes - Myelination
GPX2,561.9,liver protein (nTPM + cluster),gallbladder: 476.9;intestine: 435.3;liver: 561.9;stomach 1: 357.0;urinary bladder: 333.7,Cluster 37: Liver & Intestine - Lipid metabolism
MSMO1,558.3,liver protein (nTPM + cluster),liver: 558.3,Cluster 83: Liver - Metabolism
HSD17B13,556.3,liver protein (all 3),liver: 556.3,Cluster 31: Liver - Plasma proteins
PTMS,551.5,liver protein (all 3),liver: 551.5,Cluster 69: Liver - Oxidoreductase activity
C8G,550.5,liver protein (nTPM + cluster),liver: 550.5,Cluster 31: Liver - Plasma proteins
